           à       á       â       ã       ä       å       æ       ç       è       é       ê       ë       ì       í       î       ï       ð       ñ       ò       ó       ô       õ       ö       ÷       ø       ù       ú       û       ü       ý       þ       ÿ
   à       1       6      10       4       5       4       5       5       3       4       5       1       8      11      18       9      14      12      11      11      11      14       6      17       2       8      15       6      14       3       6       2
   á       5       2       3       5       5       1       3       2       3       5       5       4       4       6      13       8      11      10       3      16       6       5      12      13      10      15       4       3      15      13       9       2
   â       4       1       2       7       1       1       1       6       9       4       9       1       4       1      10       2       9      12       6       6       6       5      14       3       5       1       2       0       7       5       6       2
   ã      12       3       6       3       1       2       2       2       7       3       5       1      11       3       9       9       6       2       7       6       8       3      12      11       1       6      13       9       7       3       2       6
   ä       8       3       3       3       2       9       9       9       7       5       4       6       6      13      11       3       6       7       6       8       3       5       6       4       2       5       2       9       2       6      12       2
   å       3       6       2       3       1       7       8       9       8       3      11       5       9       8      12      10      16      11       5      13       8       9       3       3      16       5       5       6       2       2      11       2
   æ       1       7       1       2       6       5       9       1       3       3      19       5      13       3       7      11       4       1       6       5       8       1       2       5      10       0       7       5      10       4       8       7
   ç      10       1       1       5      13       2       6       5       5       8      11       4      15       5       1       5       3      10      24       9       6       7      13       6       4       3       8       3       4       7       5       8
   è      10      10       6       2       3      12       3       8       5       7      13       4       6       4       6      10       6       6      11       6       9       5       2       8      13       5       7      13       6       7       2       6
   é       9       8       5       2       5       6       5       8       7      12       3       8      20      11      12       3       6      15       6      10       9       7       8       6       6       4      18       5       4       6       3       3
   ê       6       4       1      10       2       4       9       3       8       8       4      13       4      14       7      18      17      14      13      13       9      26       9      12      20      17      10      11      10      12      10       3
   ë       3       5       4       3       1       3       6       9       4       7      11       8       2       5       5      11       3      10       6       2       7       1       3       8       8       2      14       5      12       7       5       7
   ì       3       9       4       9       7      13      11      10      15       9      14      11      18      21       8       8       8      29      10      14      10      10       6       0       6       2      12      11      15      11       7      10
   í      10       6       3      13       4      10      10       2      15       9       9      13       4      13       5      11      13      15       3       7       6       5      13       7      13       3       9      10       1       3      22       6
   î      17       5       5       5      18      20       4       5       9       5      20       8      18      16      35      17      17      16       8      28      18      11       8       8       8       8      15      16      18       4       8       4
   ï      13      12       2       5      12      10       6       5       4       5      14       6       4       8       5       4      10      10      20      15       5       9       4       7       9       3       5      13       6      11      10      10
   ð      12       7       5      14       8      10       2      12       9      14       7      10      19       8      12       5      18      15      13       5       9      13      11       5       7      11      11      13       8      11      15       3
   ñ       5      21      14       2       9       5      13       5       8      17      13       6      12      18       4       9       8      11      14      14      10      17       4       7       4       6      10       8      14      11       4      12
   ò      18       7       5      10       6      11       4      12       8      15      13       6      13      12      14       7       6      13       6      14       3       5       1       8       7       3       4       4       8       6      13      13
   ó       5      13       3      10      10       5      13      10       4       4      10       3      18      12      10      23      18       7      10      11      13      13       7      15      10      10      10      10      12       7      18       6
   ô       4      12      18       2       8      12       5       5       6       3      15       4      17       8       8      14       8       7      11      10       7       5       6       2       2       2       5       1      21       7       0       3
   õ       9       8       2       9       9       1      11       8       3       9      11       7      13       2      15       7      12      14      11       7       5       5       7       4       4       7      11       7       5       7      15      11
   ö       6      11       3       8      13       1       5       4       4      10       8       7       9       2      23      10       3       5       7      16      10       2      15       5       8       8       2      10      14       8       6       7
   ÷      11       8       2       6       3       5       4       5      14      13       2       4       6       5      30       1       3       6      11      13       7       5       8       5       2       7       6      13      17       4       3       3
   ø      12       0       8       6       1       6       2       5       6       4       6       2       8      10       6       6      21       3      10      11       2      11       4       9       9       9      15       8       4      12      10      12
   ù       9       5       5       8       0      13       0       7      15       9       8       7       4       7      14       2       8       5       2       5       6       0      11       4       1       2       8      12       2       1       9       6
   ú       2      13      15       5       8       7       9      12       6       2      23       5      20      10      22      10      13       9       5       8       7       8       4       7       3       4       3       6      22      11       6       6
   û       8       7       4       0       3       1       3      10       9       9      10       3      12       8      25       5      16       9       2      14       6       9      15       6       7       8      15       6      16       8       2       8
   ü      14       3       0      12      15      12       3       8       1      11       7       8       5      11      22       6       8       6       7      13       2      10      19      13      22      16       4      18      13      14      14       3
   ý       3       3       5       3       2       5       5      11       3      11      21       4       7       8      16       7      12       6      12       9       3       6       7       7       9       5       6       5      16       4       1       7
   þ      17       4       4       5       3      14       2      11       7      10       4       6      15       2      12       5      17      13       5       4       4      15       3      11       4       9      23      17       4       6       3       8
   ÿ       1      11       1       0       2       5       1       3       6       2       6       7       7       8       5       6       2       7       4       7      14       9       7       6       6       1      12       1      11       8      22       4
