           à       á       â       ã       ä       å       æ       ç       è       é       ê       ë       ì       í       î       ï       ð       ñ       ò       ó       ô       õ       ö       ÷       ø       ù       ü       û       ý       þ       ÿ
   à       4      12      31       5      11      17       6      22      40       2      37      48      42      53      12      15      23      26      46       8       7      12      13       4       5       2       0       1       1      11      20
   á       5       0       2       0       0      20       0       0       6       0       0       5       0       2      22       0       9       1       0       5       0       0       0       0       0       5       0      28       0       1       7
   â      36       2       1       1       2      41       1       3      22       0       9       9       5      17      68       7      14      30       7       7       2       1       1       0       2       0       1      18       2       0       1
   ã      11       0       1       0       9       7       0       1      10       0       1       5       0       1      64       1       6       1       0       5       0       0       0       0       0       0       0       0       0       0       0
   ä      32       0       4       0       2      37       0       0      16       0       0       4       0      13      17       1       4       1       0       6       0       0       0       0       0       0       2       5       0       0       0
   å       5      22      41      30      18      17       7       8      14       8      16      41      41      85      12      23      57      61      44       6       1       7       2      10       9       4       2       1       7       1       3
   æ       4       0       1       0       9      21       0       0       6       0       0       0       0       6       1       0       0       0       2       2       0       0       0       0       0       0       0       0       0       0       1
   ç      19       1       5       1       1       6       0       1       9       0       0       3       4      10       5       1       3       2       0       2       0       1       2       0       0       0       1       6       0       0       1
   è      10      10      42       6      12      27       5      15      40      23      41      28      34      68      19      18      15      34      49       7       4      21       9      19       5       1       0       1       4       3      20
   é       6       1       4       1       1       1       0       0       8       0      13       1       7      10       4       7       4      14       3       2       1       1       2       3       7       0       0       0       1       0       0
   ê      50       1       5       0       0      12       2       0      37       0       3       8       0       1     113       5      31       8       6      22       1       0       0       0       0       0       0       0       1       0       1
   ë      31       3       2       5       0      26       1       1      51       0       3       2       1       6      42       0       0      16       1      13       0       0       0       0       1       0      58       0       1      11      24
   ì      23       6       4       4       5      44       0       1      24       0       2       9       5      14      30      10       3      13       0      28       0       0       0       6       0       0       2       6       1       0       7
   í      74       1       4       5       5      78       0       1      75       0      11       0       1      27      96       2       2      31      16       8       1       0      13       1       0       0       5      34       0       1      16
   î       4      36      80      50      44      22      15      11      14      57      15      67      72      63      32      28      48      71      63       7       8       1       1      15       4       0       0       0       8       2       7
   ï      20       0       0       0       0      18       0       0      10       0       0       5       0       1      63       2      44       5       0       4       0       0       2       0       0       0       0       3       0       0       0
   ð      77       3       5       5       0      39       1       0      41       0       1       1       6      11      63       4       3      10       5      26       0       1       0       4       1       0       5      16       0       0       3
   ñ      22       0      13       1       2      35       0       0      22       0      94      19       3      11      29      10       3      23      94       9       1       1       0       5       0       0       8       2       0       0      17
   ò      56       4      17       2       5      44       0       1      46       0       5       1       2      19     112       5      26      21       2      22       0       0       0       3       0       0      49       7       2       0       7
   ó       4       5       1       4      10       1      10       7       4       0      18      26       7       9       4      11      21      23      11       2       1       1       0      11       3       2       0       0       3       9       0
   ô       4       0       0       0       0       5       0       0      10       0       0       0       0       0       7       0       3       0       0       1       0       0       0       0       0       0       0       0       0       0       0
   õ       3       0       5       1       0       2       0       1      11       0       1       0       0       3      12       4       1       4       0       2       0       0       0       0       1       0       0       0       2       0       1
   ö       6       0       1       0       0       8       1       0      21       0       1       1       0       0       3       0       0       0       0       3       0       0       0       0       0       0       0       3       0       0       0
   ÷       9       0       0       0       0      30       0       0      15       0       2       1       0       6       0       0       0       0      20       2       0       0       0       0       0       0       0       0       0       0       0
   ø       4       0       0       0       0      12       0       0      10       0       8       1       1       6       0       1       0       1       0       1       0       0       0       0       0       0       2       0       0       0       0
   ù       1       0       0       0       0      11       0       0       7       0       0       0       0       0       0       0       0       0       0       1       0       0       0       0       0       0       0       0       0       0       0
   ü       3       4      14       0       1       4       0       5       5       0      10       0       2      35       5       5       1      12      17       0       0       0       1       0       6       0       0       0       1       3       2
   û       4       1      14       0       6      14       2       1       7      12       5       8      10       5       3       6       0       7      13       3       1       5       0       1       2       0       1       0       0       0       0
   ý       0       0       0       0       0       0       0       0       0       0       1       0       2       0       0       0       4       1      27       0       0       0       0       0       0       0       0       0       0       0       0
   þ       1       5       0       0       1       2       0       1       2       0       2       0       2       0       2       4       2       2       9       1       1       0       1       1       1       4       0       0       0       0       0
   ÿ       8       1      13       2       0       2       2       4       7       0       8       6       0      26       5       7       4       6      23       3       1       2       1       2       0       2       0       0       1       2       2
