    symbol     count
         à       251
         á       221
         â       152
         ã       181
         ä       186
         å       222
         æ       179
         ç       217
         è       221
         é       240
         ê       321
         ë       187
         ì       331
         í       273
         î       402
         ï       262
         ð       322
         ñ       316
         ò       275
         ó       330
         ô       238
         õ       256
         ö       250
         ÷       232
         ø       238
         ù       195
         ú       291
         û       264
         ü       320
         ý       229
         þ       267
         ÿ       192
