    symbol    probability
         à       0.031138
         á       0.027416
         â       0.018856
         ã       0.022454
         ä       0.023074
         å       0.027540
         æ       0.022206
         ç       0.026920
         è       0.027416
         é       0.029773
         ê       0.039821
         ë       0.023198
         ì       0.041062
         í       0.033867
         î       0.049870
         ï       0.032502
         ð       0.039945
         ñ       0.039201
         ò       0.034115
         ó       0.040938
         ô       0.029525
         õ       0.031758
         ö       0.031014
         ÷       0.028781
         ø       0.029525
         ù       0.024191
         ú       0.036100
         û       0.032750
         ü       0.039697
         ý       0.028408
         þ       0.033122
         ÿ       0.023818
